row_id,planet_name,num_stars,num_planets,num_moons,orbital_period,radius_in_earth,mass_in_earth,planet_mass,eccentricity,equilibrium_temp_K,st_eff_temp_k,st_radius,st_mass
4457,Kepler-776 b,1,1,0,4.89718784,1.38,,,0,904,5093,0.85,0.79
4458,Kepler-777 b,1,1,0,5.72807244,,,,,,4031,0.67,0.63
4459,Kepler-778 b,1,1,0,,1.581,,,,,5315,0.79,
4460,Kepler-779 b,2,1,0,7.09714223,0.83,,,0,428,3555,0.4,0.41
4461,Kepler-78 b,2,1,0,0.355,1.173,1.86,1.86,0,2250,5058,0.74,0.76
4462,Kepler-780 b,1,1,0,0.67737516,0.97,,,0,2173,5735,1.1,0.95
4463,Kepler-781 b,1,1,0,13.2140732,2.72,,,0,628,5330,0.73,0.81
4464,Kepler-782 b,1,1,0,158.6853308,3.73,,,0,390,6126,1.19,0.98
4465,Kepler-783 b,1,2,0,,0.677,,,,,5381,0.86,
4466,Kepler-783 c,1,2,0,7.05393449,2.36,,,0,840,5357,0.86,0.85
4467,Kepler-784 b,1,2,0,31.5922646,1.58,,,,,5674,1.32,1
4468,Kepler-784 c,1,2,0,17.1570874,2.04,,,0,909,5611,1.79,1.06
4469,Kepler-785 b,1,1,0,,12.875,,,,,3806,0.74,
4470,Kepler-786 b,1,1,0,53.5292702,2.28,,,0,348,4736,0.71,0.79
4471,Kepler-787 b,1,1,0,0.92831084,,,,,,4334.53,0.63,0.68
4472,Kepler-788 b,1,1,0,8.39842977,2,,,0,984,6309,1.04,1.1
4473,Kepler-789 b,1,1,0,8.63847725,2.1,,,0,937,6178,0.99,1.04
4474,Kepler-79 b,1,4,0,13.48457668,3.39,,,0,929,6198,1.32,1.1
4475,Kepler-79 c,1,4,0,27.4029,3.72,5.9,5.9,0.03,,6174,1.3,1.17
4476,Kepler-79 d,1,4,0,52.090767,6.912,11.3,11.3,,,,1.28,1.24
4477,Kepler-79 e,1,4,0,81.065298,3.36,,,,,6189,1.4,
4478,Kepler-790 b,1,1,0,13.73469807,2.14,,,0,634,5196,0.77,0.73
4479,Kepler-791 b,1,1,0,14.5539759,3.05,,,,,6383,1.47,1.3
4480,Kepler-792 b,1,1,0,11.30123036,1.85,,,0,852,5730,1.12,1
4481,Kepler-793 b,1,1,0,4.24153629,1.44,,,0,1177,5776,1.05,0.88
